,ABCB1,ACTN4,AHR,AKT1,ALDOA,ANGPT2,ANXA2,APLP2,AR,AVPR2,BAP1,CCND1,CD274,CD44,CDKN2A,CRP,CTNNB1,CXCL12,DNMT1,DNMT3A,DOK4,EPAS1,EPHA2,EPO,ERBB2,ERBB3,FN1,GATA3,HIF1A,HNF4A,INSR,JADE1,KPNA2,MAP3K5,MAPK3,MMP9,MTOR,MUL1,NDRG2,PATZ1,PIK3CB,PRKCE,PTEN,PTPRU,RBX1,RNF139,SOD2,STAT3,STK11,TEK,TFAP2A,TGFA,TGFB1,TICAM2,TRIM33,VCAM1,VDR,VHL,VIM,WWOX,Y
0,36.71601201,36.95937565,33.70394682,34.43427481,39.08871741,31.8119977,37.39663755,35.11789655,31.9580283,21.79842717,33.67729431,35.39589743,31.14595944,36.78890732,33.32938203,28.24934,35.0765,34.00824,35.1514,31.75476,32.17365,37.95811,32.20355,30.74226,35.32243,36.30705,38.66781,31.7752,35.44138,35.60734,35.28722,32.14106,32.04949,33.61599,34.64783,32.09117,33.01718,31.16982,33.51109,30.18681,35.45128,30.94168,36.73944,33.22485,32.88184,32.46554,38.67433,36.60716,34.96649,32.47644,29.99648,32.63708,36.0341,27.27919,33.58841,35.69036,30.0045,32.30615,39.80908,33.19217,1
1,34.17457717,37.51835001,33.39666541,34.15270101,38.62034482,33.32069113,36.57067128,36.33360747,32.39755615,28.19556529,32.64314903,35.8473398,29.27960179,35.08087771,32.50379061,29.09743,35.93203,36.57554,34.78386,32.83981,32.739,38.83281,31.80902,28.10697,33.71706,35.64465,39.11291,29.86748,35.40967,33.97926,35.75399,32.68113,32.16526,33.00344,35.12704,33.09189,33.17883,30.15962,34.7439,30.60836,33.32075,31.93903,37.13114,31.91952,32.73773,32.2719,38.64559,36.15715,33.69034,32.61052,24.39572,31.50477,34.85872,22.41477,34.75536,36.56088,31.0212,32.19988,40.71898,34.09405,1
2,31.22551049,36.87302336,33.24249388,35.44911923,39.91161235,31.2653654,38.44301987,38.15991905,31.1208688,27.68116936,32.36886592,37.20761118,34.12046136,35.54361029,32.56181243,26.5123,35.25025,35.0644,34.97395,32.26242,32.70493,37.19345,32.06977,21.21182,33.38917,34.03486,41.10584,31.35822,36.47898,32.93145,34.10993,32.91137,34.78429,31.68006,34.83018,30.31709,34.06093,30.36748,33.46802,30.76407,33.24953,31.21546,37.91878,32.99426,34.39679,32.55514,40.50559,36.62503,33.52524,31.5326,29.22146,29.29853,35.32421,26.21874,34.60949,35.2844,31.79667,31.49147,40.3475,33.91476,1
3,32.98864135,37.8908711,34.1314701,34.22027811,38.84665659,33.27470827,37.24482881,36.00682659,29.25578225,26.72822098,31.89539977,33.86411963,30.57542297,35.26357538,30.36888918,22.09712,36.36322,33.20248,35.07183,32.64948,31.83955,39.46713,32.40441,27.43039,33.2234,35.1281,38.76668,30.85131,36.61326,34.08321,36.19859,32.58677,32.35568,32.97341,34.51162,30.341,33.50445,30.81004,35.4844,30.90838,33.31048,32.79986,37.77827,32.15506,33.53161,33.19823,38.99231,36.55846,33.20234,33.02729,24.39572,29.6208,35.36688,27.19268,35.13094,33.99246,29.70039,32.11538,40.65484,33.56484,0
4,33.28484871,37.20589951,34.93491005,33.97336834,37.16432458,33.45608029,36.87169298,36.642209,28.87669438,21.79842717,33.96834807,35.11933422,33.35930304,36.82703696,24.50161888,22.09712,36.56221,34.69057,35.23627,33.75096,32.09449,38.49884,31.06747,29.698,33.40876,32.28362,41.36091,25.18977,37.72925,23.70446,35.19443,33.39826,33.21652,33.94307,33.26646,32.17252,34.22502,28.70417,33.56942,31.33518,34.69978,29.91208,37.99008,32.19074,32.86688,30.89813,38.41437,36.22381,34.14981,31.72899,32.82296,22.40661,34.85384,22.41477,33.77973,33.43134,30.09807,33.33646,40.15191,34.11384,1
5,33.169564,36.7689955,34.33532764,34.98128133,37.83195463,32.15191542,37.63746157,35.19251715,28.06308252,28.61998155,33.65253266,35.19523756,31.32369867,36.6022912,30.96071885,22.09712,36.02961,34.81923,35.58416,32.37386,32.25278,37.78717,32.31199,21.21182,31.56564,31.66437,40.30234,32.59004,36.93708,29.95417,33.78232,32.80572,33.29704,32.40421,33.75885,33.06083,33.6943,28.9498,33.56843,30.29533,33.54649,31.19242,37.35848,33.54317,33.10573,33.57671,38.37018,35.71087,33.61846,32.55107,24.39572,27.79499,35.7177,22.41477,34.50935,33.99628,31.25291,32.85442,38.99995,32.77201,1
6,36.5298251,37.84494741,32.76423327,34.6207974,38.74228397,30.95482707,36.78515178,36.35338602,31.7388188,26.44374279,32.63333485,36.73253482,30.71789546,34.61360443,32.0583251,22.09712,35.18082,35.59367,34.81874,32.49858,32.90637,37.26115,34.06266,21.21182,33.86934,36.69252,37.52467,30.38766,35.9119,32.9506,35.1759,32.07509,32.47829,32.66542,34.46245,31.11623,33.4104,30.43075,34.54155,31.71304,34.23918,31.12705,35.90397,32.48606,33.28772,32.97635,36.82956,35.8587,33.25381,31.77267,27.5912,30.15611,33.27583,29.04972,34.64974,36.95812,29.35962,31.61337,38.66055,33.9976,0
7,36.43693061,36.15622468,33.75019724,34.22220288,38.46099222,32.95765821,35.54043703,34.9820244,31.91088604,27.2468426,32.84343927,36.62863926,32.19415511,34.62159888,31.64530994,22.09712,34.82624,31.03762,35.04998,32.54677,32.74613,36.84683,32.11617,25.66017,33.54593,36.09795,37.6914,29.73731,35.47238,33.45263,34.34752,31.81514,32.17359,32.59304,34.04426,32.05306,33.66749,29.25144,33.5619,30.29647,34.59271,30.68402,36.2205,31.11111,31.68459,31.99291,38.46245,35.62732,33.37485,31.04446,32.25735,31.81699,33.93391,22.41477,33.84707,34.08499,29.41837,31.10226,38.533,35.63683,0
8,35.24985857,37.47077832,34.31388597,34.38228829,38.17153347,31.84338868,37.04481362,35.67002538,33.09937187,30.31743285,32.6601447,34.84842181,30.39133352,34.65619846,31.81478629,22.09712,35.68764,35.00866,33.89472,32.27484,33.18018,39.13267,32.35672,28.60652,34.12366,36.68457,37.7962,30.95579,37.17953,34.57826,35.89715,33.22699,32.07382,32.95975,34.75235,30.76625,33.70979,30.4825,35.01041,31.22014,34.13988,32.66794,36.99773,32.78703,33.30279,33.13805,39.27165,36.09358,32.60053,32.59412,24.39572,30.51401,34.92169,22.41477,33.61031,34.07384,29.56182,32.53684,40.5283,34.126,1
9,34.9734371,37.41867303,35.20645199,34.41813237,39.31526604,31.50151603,37.45483749,36.61858573,33.17914439,28.05928155,33.61841147,34.69719727,31.53432379,34.21137951,32.24185039,22.09712,35.38618,32.88668,35.1374,32.54259,33.45029,38.05661,30.95611,21.21182,33.37722,36.59992,37.49313,30.46383,35.5141,35.24758,35.02126,32.47456,32.25975,32.41828,34.05973,31.52754,33.08193,29.60691,33.91129,30.49687,34.51416,31.87346,34.72746,34.7516,32.71466,31.84626,36.73066,35.92503,33.32132,31.40148,30.01143,32.2295,36.8469,29.04101,33.53742,33.67253,31.91159,30.84539,41.07188,34.08786,1
10,33.25293583,38.05961827,33.47888061,34.7454573,38.99057305,32.38993396,37.02080643,35.79440498,31.88347093,28.274229,33.03183581,37.27553631,31.49957604,35.86383995,31.22993976,22.09712,36.05635,35.27916,35.57285,32.36548,32.76087,38.48123,33.51033,25.9676,33.48126,35.75211,39.26423,31.56964,35.85519,33.04939,35.72915,31.92286,33.13967,32.35111,34.49076,33.61903,33.77177,30.3164,34.68474,31.27709,33.2112,32.02632,36.04017,30.79497,33.01866,31.99236,38.43426,36.26676,33.69268,32.77763,30.52784,30.65801,35.4572,22.41477,34.84554,35.38909,29.67936,32.4506,40.52543,34.02171,0
11,35.3591762,37.21115397,33.48510109,34.92690086,38.05986496,32.951556,35.86010973,35.21464276,32.22431768,29.64682814,33.2581978,38.26087578,30.55985988,35.27366325,30.47041274,22.09712,35.76324,36.31052,35.41438,31.66646,32.1818,38.39817,33.82059,26.37545,33.9892,36.2907,37.0005,32.19952,36.76427,33.89764,35.63895,32.74687,32.09197,32.54851,34.8213,27.37995,33.04822,31.11525,34.82207,30.86551,34.84802,32.91165,37.08172,32.15477,33.0833,33.4261,37.32877,35.76867,33.45445,32.49353,31.20142,29.83649,34.54317,22.41477,34.74633,36.33044,27.82328,31.51755,39.23402,33.95818,0
12,35.60690131,37.29040303,34.20411668,34.48030931,37.63630412,31.1116719,35.81796505,35.14891845,32.90218947,25.53899928,33.22810975,37.17888322,30.05927311,35.33561941,33.03034281,22.09712,35.7924,34.01077,34.33559,31.53637,32.94331,38.34336,33.47936,21.21182,34.00777,36.70767,37.24052,27.30168,35.03621,34.07931,35.25116,32.28471,32.0455,32.41538,34.78304,22.78257,33.68132,30.04839,34.06946,31.21299,34.04353,32.34682,36.26808,33.14298,32.28789,32.26933,36.19157,35.55964,32.87046,32.75652,24.39572,31.90357,34.2096,26.11123,34.88276,35.61813,31.35081,31.13415,39.10046,34.71702,0
13,35.84755885,38.02721586,33.54865288,35.1086864,35.86104272,29.04331879,36.42638182,35.01246395,32.73953106,30.1861225,33.552945,36.27481752,30.93927491,34.9432111,32.3295452,22.09712,35.19221,35.26094,35.27352,31.75945,32.06491,38.16606,34.49984,21.21182,35.05589,36.32086,37.42384,30.96419,35.18709,33.9827,35.63008,33.94997,30.29923,32.35222,34.69294,27.0135,33.36477,26.91384,33.68481,31.29013,32.86965,33.01269,35.61627,34.03924,31.3682,31.09517,36.68269,35.13394,34.13254,33.28263,31.17578,32.32561,33.14401,27.07161,35.79135,35.18547,30.20571,32.75366,38.4161,34.73583,0
14,32.77448919,37.66862864,33.30582037,34.51465245,37.63131326,32.08845221,35.26911945,34.97085827,32.80593255,30.16497303,33.69244186,36.83716438,31.74262717,36.06330495,31.06108917,29.10637,35.34379,32.89492,35.54378,32.80831,32.96862,36.67863,33.77472,21.21182,34.66193,34.70584,37.66058,32.65205,35.66993,32.11753,35.07773,33.23912,32.33472,31.86866,34.64409,32.03669,33.15707,29.79291,33.90045,31.04225,34.37131,31.84856,35.8713,32.8873,31.43608,31.15776,37.9372,36.50698,34.4592,30.40311,32.32501,30.65897,35.23512,26.48753,34.67733,35.94079,30.96857,32.65044,39.10191,34.58169,0
15,34.68091091,37.39597198,34.9104087,35.44928247,36.83367955,34.58734159,36.07889749,35.19656399,29.90258507,29.38231953,33.52923201,35.38769412,29.91077032,37.91408513,32.48976994,22.09712,37.18802,32.12733,35.87011,33.45416,31.19635,39.15707,34.44933,29.9523,32.14913,34.05885,38.73912,32.21679,37.10284,32.14982,36.2207,32.84645,33.22028,33.1325,33.84764,32.74551,33.6956,28.25207,34.56093,30.38152,32.66663,33.53332,35.5696,31.42077,31.42947,31.30737,37.72707,37.27766,34.75723,31.56999,29.68284,29.99492,35.05375,28.30583,34.32256,33.07074,30.90342,32.45489,39.78342,34.75915,0
16,31.47983421,37.83479145,34.18221181,34.63415352,38.43696903,32.49848753,38.32695844,35.14416137,30.08278707,28.10364697,33.43930867,36.7286197,31.44988818,36.01129845,33.14756501,22.09712,35.48708,35.58683,35.29405,32.62011,32.79752,37.99765,31.96762,21.21182,34.47116,35.98765,39.46735,31.80667,35.56589,23.70446,34.42031,31.79927,34.17998,33.05495,34.52755,35.01893,33.87162,29.74883,33.80231,31.12792,33.46285,31.43156,35.78921,31.99982,33.36607,32.26966,39.45764,35.82307,33.1584,31.97006,31.31244,28.60016,35.29935,24.87616,34.52699,33.37805,30.9466,32.03593,41.59746,32.80648,0
17,32.11948049,37.33870498,33.46147212,34.54666802,38.1334797,31.76190387,36.42990293,35.19968362,29.9432743,28.17494545,33.376406,35.66760226,31.42709078,36.95229972,32.43432854,22.09712,36.10925,34.93801,35.93897,33.14927,33.23991,37.16011,30.95664,21.21182,33.89564,35.74998,39.44347,31.58354,35.6335,33.10887,34.78467,32.40697,32.92151,33.33117,34.20464,30.74591,33.13449,30.29484,34.04353,30.75539,33.1887,31.54036,35.73359,33.74714,33.09066,31.42432,38.65403,35.68068,34.54534,32.68817,26.26236,30.73299,34.15978,22.41477,34.7149,36.89551,31.88257,30.92365,39.44712,34.63672,0
18,34.83645955,36.5519543,35.28867952,34.53268332,36.94304732,32.80694866,36.32552553,35.61501648,32.46142182,29.99766041,32.49690704,34.06602466,31.74738628,35.36002579,32.12117639,28.35676,35.70867,34.82987,35.63974,33.68477,31.94467,37.55787,31.32164,29.46451,32.95287,34.62453,38.42534,31.32779,35.80898,33.57123,34.89782,32.57467,32.41705,33.23569,34.03315,29.92795,33.7741,29.87948,34.33773,30.29687,33.99038,31.27002,35.24093,33.30059,31.10934,32.46267,36.67589,35.89324,33.37801,32.69715,31.94567,30.43574,35.07704,28.34518,34.93771,34.81602,31.7243,31.74634,38.99483,34.76753,1
19,31.0994486,37.10482632,35.40510848,34.78713083,37.13772126,31.26560678,37.28881313,35.94640415,30.0906043,28.98567154,33.22626382,34.22673661,32.94767348,37.51548808,31.25733707,28.99948,36.4592,35.11826,36.36011,32.0741,30.74091,37.93249,33.20546,25.52556,32.74769,29.76242,39.46221,31.95373,37.02057,27.49587,33.64669,31.53528,34.35626,32.8475,33.52672,37.83733,34.40276,30.51922,32.64666,30.66372,33.52552,30.94703,37.0071,32.11472,33.20439,32.81773,36.50267,35.99329,33.30365,32.00834,31.22597,29.4533,34.59071,26.64359,34.47049,34.8163,33.11837,32.89678,39.78305,34.11937,0
20,32.91120805,38.49825566,33.46031813,34.99797527,38.33427805,30.32394617,38.57820759,35.90326639,26.63335191,28.98297113,32.38072384,35.29428227,35.63903772,37.34164695,30.99344346,22.09712,35.78709,34.31918,35.46867,33.4424,33.11117,36.31018,34.08565,21.21182,33.72511,28.93588,40.87331,32.24649,36.36112,23.70446,31.37751,33.34413,33.91598,31.081,34.37813,27.7784,33.14262,30.01645,32.30436,30.71905,32.9353,30.17213,36.09633,33.38087,32.28197,32.0561,35.50802,36.363,33.31276,33.23531,33.12716,29.22159,35.84132,22.41477,34.86657,31.74645,31.36849,32.64736,38.57066,33.594,1
21,33.09267267,37.23081855,35.41988813,33.44439675,38.11846804,33.20846769,37.62636957,35.92877043,31.36949966,29.77206109,32.73490529,35.16371825,27.20571111,36.22167041,31.95792852,28.68261,36.07385,34.71349,35.70979,31.97225,31.89983,37.82743,32.60075,21.21182,32.40563,35.69291,38.65634,25.18977,36.91534,33.50483,35.48379,31.74953,33.32332,32.77595,33.72469,31.61171,32.64441,28.55635,33.16559,31.59315,34.67796,31.68267,36.58067,32.03635,32.27819,32.0086,39.73582,36.10098,31.64452,31.40661,24.39572,28.23104,35.37781,22.41477,34.45637,35.69787,28.93097,32.61222,40.27728,35.80783,1
22,35.71593283,37.16676618,34.20342768,34.3328936,39.26244414,31.94756533,37.3002142,36.99847026,33.71167616,21.79842717,34.2082506,37.65818272,28.96919935,34.7966957,32.06002299,30.465,35.01788,33.55497,34.38091,31.97781,34.15157,38.2906,33.90502,21.21182,34.48587,37.30925,37.72172,30.44775,35.85187,35.50771,35.58603,34.44102,31.18933,32.32268,34.76838,31.43228,32.74635,29.73221,34.31722,30.93185,34.21561,29.5355,35.14085,34.15352,32.2235,31.95994,39.3764,35.83486,33.05692,30.55489,28.73886,32.93624,34.46513,22.41477,33.5928,36.78214,31.23173,32.12949,38.97978,34.60835,1
23,31.08378129,37.11513762,34.20372334,34.80551958,38.57025763,33.18695276,37.6027561,35.74286905,30.19782964,28.95496165,33.59551682,36.74599912,31.36835281,37.31567257,32.47968988,22.09712,35.54114,34.54122,35.92578,32.09653,32.66053,38.0228,31.74911,31.52822,32.09354,35.16058,39.53362,29.73654,36.90783,31.99843,34.89639,32.12476,34.18197,31.95383,35.007,34.82616,33.90466,29.59667,33.79728,29.59013,33.04253,31.44516,35.98864,31.67567,32.81517,32.05511,37.56299,36.91421,34.03191,31.40551,30.8414,30.89012,35.70769,22.41477,34.53929,34.22035,30.91594,32.03143,40.8342,34.4871,0
24,31.97412868,36.02508948,33.75790216,33.7749401,36.8496659,32.44470949,37.49449955,35.32083343,30.0311726,21.79842717,32.74452131,34.00261718,29.90418762,37.78021032,33.11331449,22.09712,35.78474,35.6679,37.14926,31.40684,31.3595,35.66616,32.81407,21.21182,33.45492,31.2676,37.96492,32.37012,37.41999,27.95964,32.43321,32.87893,33.68194,33.14466,34.35892,32.02063,33.50727,30.69848,26.97761,28.41847,34.60816,30.44046,36.17544,31.21893,32.18133,32.51403,39.44401,36.94662,32.96535,28.85316,32.55866,31.15121,33.673,28.77546,36.71315,36.42879,31.27646,33.92074,39.13368,33.5304,1
25,33.48548095,36.83744157,33.10025742,34.74741393,38.33374096,32.08989834,37.72577194,35.49890305,27.37395827,30.37458069,32.71060828,35.48599288,22.97541495,37.33139549,30.40249947,35.33535,35.53576,32.77899,34.88536,32.36335,34.47063,38.07107,33.57445,21.21182,33.25974,36.16615,40.22801,32.03302,35.73958,34.14399,34.70177,32.69037,33.14828,33.08803,34.135,32.84637,32.98304,29.72085,33.53503,30.27875,32.74475,31.38005,36.85031,33.34542,32.52817,31.00062,39.0166,35.96157,32.0499,32.62072,32.33814,28.50389,35.5078,22.41477,34.88645,31.28052,32.81798,31.39375,39.27246,33.88788,0
26,35.419225,36.61090992,35.19769366,32.89512135,39.63994013,32.1698742,37.91553812,36.73860501,32.22588652,23.98362253,32.2240865,33.90659796,28.83490978,35.71070411,32.78293767,22.09712,35.51514,32.98307,34.10868,31.8258,32.70414,37.26878,30.33099,26.40893,33.13265,35.62517,39.41629,31.99282,36.85886,34.01738,34.0965,32.47391,32.66058,33.62897,33.66825,32.79231,33.6217,30.21744,33.59744,29.6443,34.54866,32.15854,37.02355,32.05928,33.74303,34.02099,38.55076,35.35321,32.34646,31.59719,32.25546,30.76349,33.09781,22.41477,32.92252,35.58445,30.13559,31.32365,40.94519,33.25217,1
27,33.86437026,38.23465405,33.79579565,35.14441914,38.19272527,33.21874094,36.76741746,34.85604501,32.66602696,29.9264379,33.23384051,37.05622373,30.89131719,35.86235032,31.92511195,22.09712,36.57797,35.05082,35.65341,32.19393,31.56962,39.31331,33.85272,21.21182,34.53039,34.42577,38.67293,27.06962,36.69962,30.01772,36.03821,33.31083,33.21572,32.1817,34.37395,33.62197,33.97665,29.0628,34.73101,31.10206,33.33341,30.40422,36.77963,34.60552,32.86644,32.06894,38.08069,36.81301,33.73432,32.46902,26.95756,31.17096,34.30878,22.41477,34.38837,35.21183,28.4166,32.36932,39.783,35.10438,0
28,34.88755721,36.8418685,35.01328723,34.22570675,37.37439818,33.22852344,35.69223587,34.95733902,31.4329733,27.90163926,33.68443072,34.92780122,32.43383496,35.26032671,31.22596627,30.13302,36.13851,35.27951,36.53583,32.39876,32.13807,37.72016,30.8229,21.21182,32.39182,36.1761,38.73192,32.5713,36.72745,33.9633,35.02433,32.75008,32.80867,32.96463,34.36783,30.81237,34.19899,26.52513,34.88041,29.17426,35.18461,32.30346,36.16043,29.62617,32.1615,32.46247,37.68494,35.6337,33.25933,32.88897,30.29029,31.66947,33.43704,28.06208,34.77212,35.3659,31.09432,33.07403,39.42759,34.68913,0
29,33.98540747,37.41914352,35.02900923,34.71324155,37.52062148,31.50258836,36.87297383,35.64532138,31.75200941,27.72680958,33.49284232,33.68405555,28.85649297,36.35149693,30.73481171,22.09712,36.06762,33.13541,35.16991,32.27136,32.41419,37.91654,34.05541,26.49506,33.89563,34.1009,39.77384,32.33496,36.7166,30.33794,34.98836,32.86853,33.01334,32.64098,33.96021,32.45146,34.22337,28.6914,34.14502,30.3652,32.36418,33.19677,35.71361,31.67012,32.54692,31.63059,36.64623,36.88032,33.19589,32.6354,29.20505,30.00822,34.36666,27.05775,34.88163,34.66137,32.14956,32.26444,39.4638,34.85789,0
30,33.92810682,37.41198985,33.96756521,33.7919363,37.85246942,32.18774669,37.81693166,35.92062777,32.50411274,28.6923304,32.89257041,35.60229175,31.53167046,36.81682488,32.62155005,22.09712,35.47718,34.0248,35.91488,32.38434,32.92019,37.06045,32.71732,21.21182,33.81135,35.58005,38.9167,32.93767,36.48189,32.74702,34.44924,32.43311,33.96143,32.80818,34.2332,31.07894,33.24428,29.84461,33.73729,30.69593,33.86852,31.29561,36.97114,31.01296,34.02494,32.84129,38.72241,36.27608,33.75746,32.03452,30.85511,29.61557,34.44017,29.25274,34.78564,36.55669,31.32268,32.18444,39.83431,33.15569,0
31,32.46451567,38.55483042,34.09437031,34.51373272,39.81145709,32.13784533,36.82228054,35.31610901,32.03108132,25.96112214,33.92418113,37.43736107,32.62572645,35.54596947,29.08671965,22.09712,35.5614,33.84951,34.8964,33.68269,34.03717,38.88147,32.69255,30.41345,34.29627,34.96031,39.04755,25.18977,36.63475,30.41794,35.4583,33.41128,31.83957,32.9357,35.32657,32.82029,33.45795,27.83292,34.53009,31.16791,33.65576,31.95693,35.27228,31.19871,32.78704,31.26782,37.57024,35.44808,33.32977,32.68556,33.41228,33.14129,35.44581,22.41477,34.03178,34.50246,23.636,29.55647,40.77811,32.70808,1
32,35.55031413,37.27906191,33.70646437,34.94248262,38.7888845,30.69787295,36.66179523,35.41514197,32.74183925,28.27100474,33.48215132,35.1592052,31.27886366,36.2868973,33.51038672,30.61168,35.56126,31.76139,34.86426,32.50927,32.85267,36.74275,32.07432,29.23554,34.74669,35.91466,36.94897,33.31226,35.82765,34.48347,33.28988,33.41888,32.80992,32.22612,34.26513,29.21352,33.79023,29.98329,33.79858,31.18038,33.65297,31.87131,36.49972,34.32013,32.84543,32.33853,37.69522,35.84324,33.28225,31.8569,31.31091,30.1752,34.3091,26.2074,34.44681,34.05214,31.69691,32.07804,39.06603,33.94474,0
33,34.34448462,37.38189367,34.53014513,34.17646208,38.9012128,33.78949194,36.08380318,35.76056405,32.18379042,28.99933741,32.49201018,36.3799745,31.14524499,34.96466565,30.86067217,25.14936,35.69497,33.54496,34.84212,33.40463,32.11932,37.95201,32.72399,31.02953,32.47482,35.63351,38.85248,33.00274,37.30767,32.31175,34.65525,32.32756,32.88358,32.22975,34.56042,32.89938,32.43436,30.7307,33.86913,30.64851,34.98314,31.25679,36.89801,31.22676,32.83459,33.64744,38.5424,35.9605,32.61364,31.61402,24.39572,31.16243,34.11647,22.41477,34.63214,35.84473,30.69626,32.19045,40.48411,33.01468,0
34,35.59692048,37.77673895,33.6975281,34.14550487,38.81037114,32.08449611,38.68696142,36.55383472,32.56207897,26.8209519,33.38601925,35.10316316,28.95941353,37.00552995,24.50161888,29.17935,35.23354,34.14152,36.28878,32.07157,32.76168,37.04465,33.56457,21.21182,33.84459,36.5121,39.08265,31.20801,36.05877,33.5186,34.83565,33.77224,33.91186,32.89018,34.40064,29.56717,32.87964,30.01063,33.86903,30.90577,35.20981,31.05301,37.58374,31.26677,33.8605,33.5604,40.2601,35.90175,33.1036,31.99985,30.00909,31.12148,33.45668,28.81739,35.2622,38.56705,29.23404,31.0072,40.41711,34.50606,0
35,33.77275503,37.44171914,34.95834109,34.21461159,38.70645661,31.64653216,37.5994101,36.29916908,31.36751506,26.78294015,33.16089491,36.58636784,30.30935619,36.44142865,32.01758954,24.03519,36.18709,36.2508,35.55839,31.92949,32.11197,38.31093,32.68989,24.61425,33.46668,35.356,38.897,30.60785,36.81748,32.95859,35.56193,33.13761,33.53957,32.28917,34.51871,33.21058,33.68001,29.50359,34.16155,30.19292,32.83159,30.12708,36.6287,33.29584,33.40798,31.83364,39.16216,36.23278,33.94074,32.4538,30.9126,30.42442,34.70936,23.41271,34.55366,35.2747,30.77591,31.90031,40.64534,34.05102,1
36,31.96541545,36.70768878,34.26980902,33.86038713,38.64966288,32.81982601,38.06750916,36.50770178,32.02226167,28.62965117,32.87289636,35.98497555,29.96462447,38.22205952,32.875043,29.65463,36.17475,33.27236,35.60879,31.20097,32.15378,38.49299,32.40229,30.84047,30.70377,30.78726,39.8681,31.59863,37.73381,26.40499,34.26205,32.23303,33.40285,31.46042,34.51982,34.5806,33.72647,29.28084,32.73753,29.74492,34.34799,30.60306,37.1101,30.39976,32.62696,33.21646,37.47927,36.25694,31.32264,31.92088,27.45702,30.63605,35.4865,28.0629,34.18644,32.8136,30.4414,31.35354,41.14508,32.91155,1
37,33.08102543,37.43888761,35.04167071,35.64948749,38.46370014,32.42088841,35.21316925,35.81457396,31.66871503,26.67266259,33.0926036,36.35505761,33.79630121,36.41793975,30.44942068,22.09712,36.15657,35.06418,36.23234,33.17903,31.10728,38.30625,33.54887,21.21182,33.26534,32.31885,38.38729,25.18977,37.4527,29.54643,36.06916,32.35271,31.80582,32.45302,34.03045,32.50616,32.98039,28.07202,34.68572,30.47558,34.527,31.8708,37.6299,31.11901,31.91862,32.37365,36.88568,36.37566,33.77616,33.67508,30.25366,33.05003,34.85446,22.41477,33.86276,37.15852,29.62124,30.8842,40.09011,33.62845,1
38,33.27324679,36.15202187,35.57445701,33.84073701,38.48319683,33.4104635,37.73321729,35.98546019,30.45799091,29.27736481,30.62522282,36.53778519,22.97541495,36.54985013,31.16182149,22.09712,35.55795,33.79841,34.45764,32.96437,32.48917,37.93276,31.40762,27.05154,32.8475,35.09163,38.54106,30.46987,36.32478,32.61025,34.50568,31.3479,31.88566,31.76219,33.07238,31.07534,32.63446,30.30913,33.39877,30.51656,33.41884,32.34357,36.26911,31.77563,33.66939,32.49066,37.49115,36.53897,33.44951,30.82,31.27135,32.23544,35.40346,26.02289,34.67975,36.09586,29.24652,31.17131,41.14346,33.08254,1
39,34.1771019,37.11488469,33.72013091,34.44208043,38.74565305,32.9995734,36.33479448,36.15580394,32.61172748,26.39492542,33.06658648,34.70517947,30.53223478,33.59382361,32.40284637,26.99369,35.91886,32.72,35.43402,31.86957,34.06425,37.57839,32.57536,29.81257,33.06746,36.45151,39.56366,30.20428,35.46381,33.71825,35.03841,32.71209,32.24691,31.75654,33.27677,34.71283,33.589,29.19863,33.76673,30.32843,34.47991,31.6754,36.85926,32.25324,31.91136,33.5531,36.14906,35.32549,33.65827,31.95222,25.9281,30.97767,34.32145,28.1597,34.43281,33.42323,31.20019,32.3053,39.69117,35.42876,1
40,36.0692484,37.48041442,35.26068297,33.94770136,37.79531978,29.12757073,37.75908073,35.56006775,32.30013173,21.79842717,32.57990639,33.56106722,28.64455488,34.99587334,24.50161888,22.09712,35.20336,31.73817,35.05612,32.93657,32.2142,35.23492,33.94439,21.21182,35.68377,36.44638,34.78804,25.18977,34.10728,33.65469,33.48718,32.4013,33.2645,30.9732,33.89535,22.78257,33.30874,29.31293,34.30514,31.90207,33.52692,31.81202,37.70073,32.1232,34.53978,32.90856,35.89994,35.37698,33.84575,24.69751,24.39572,30.94675,32.09481,26.96457,34.59705,36.94372,30.86288,30.89403,38.76255,32.66447,0
41,33.30270781,37.72890709,34.86272473,34.84979332,38.39833851,32.79675234,37.38323778,36.29753642,31.90050216,29.59777777,32.50566564,35.23848358,29.19588152,36.2931706,31.29942329,35.22286,35.92035,34.17404,36.47745,31.52846,32.0841,38.4452,32.27717,28.79815,33.48815,34.23963,39.49931,29.4953,37.11639,33.7152,34.977,32.53223,32.29589,33.5001,33.3548,32.91402,33.69631,29.89432,34.12325,29.55578,34.37897,30.86227,37.95014,32.81578,34.43751,33.36947,38.66722,36.6808,34.38478,32.53154,32.20032,29.56704,35.29601,22.41477,34.42877,35.64867,27.43586,31.16832,40.56981,34.4718,0
